mouse,cluster,mouse_final,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,mode,tissue_final,day_num_char,space
M36,Cluster 504,6,M36_D10_blood,D10,10,blood,TRINITY_DN0_c1_g1_i4_1_37_1534_RC_M36_D10_blood,0.683903190042,5253.32841921,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,blood,10,blood
M36,Cluster 504,6,M36_D10_Ear,D10,10,ear,TRINITY_DN14_c0_g1_i2_1_29_1529_RC_M36_D10_Ear,0.571224978728,4328.08274132,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99,99.1983967936,1497,1500,WT,IV,skin,10,tissues
M36,Cluster 504,6,M36_D10_Lung,D10,10,lung,TRINITY_DN17_c0_g1_i9_1_2_1493_RC_M36_D10_Lung,0.17970164431,1411.1269198,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.4634473508,99.0647962592,1497,1491,WT,IV,lung,10,tissues
M36,Cluster 504,6,M36_D10_Heart,D10,10,heart,TRINITY_DN30_c0_g1_i5_1_2_1489_RC_M36_D10_Heart,0.597961814302,4315.91909758,gnl|BL_ORD_ID|2615 Tbb1125VSG-43 : Complete : 1497nt : MC : contig Illumina-691,99.7982515131,99.1315965264,1497,1487,WT,IV,heart,10,tissues
M4,Cluster 1831,7,M4_D10_Ear,D10,10,ear,TRINITY_DN29_c0_g1_i1_1_1_1388_RC_M4_D10_Ear,0.543721932771,4285.54546519,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.1636625811,72.3320158103,1518,1387,WT,IV,skin,10,tissues
M4,Cluster 1831,7,M4_D10_Heart,D10,10,heart,TRINITY_DN27_c0_g1_i2_1_68_1460_M4_D10_Heart,1.38303944384,10167.4263156,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,10,tissues
M4,Cluster 1831,7,M4_D10_Gon_Fat,D10,10,gon,TRINITY_DN4_c0_g3_i2_1_1619_3011_M4_D10_Gon_Fat,1.27708634133,8473.7614723,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,gon. fat,10,tissues
M4,Cluster 1831,7,M4_D10_Sub_Cu,D10,10,sub,TRINITY_DN18_c0_g2_i1_1_75_1467_M4_D10_Sub_Cu,0.063862681764,419.476829928,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,s.c. fat,10,tissues
M4,Cluster 1831,7,M4_D10_Lung,D10,10,lung,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,lung,10,tissues
M4,Cluster 1831,7,M4_D10_blood,D10,10,blood,TRINITY_DN30_c0_g1_i1_1_87_1479_M4_D10_blood,0.0498491134069,321.844873996,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,blood,10,blood
M4,Cluster 294,7,M4_D10_Sub_Cu,D10,10,sub,TRINITY_DN0_c0_g1_i1_1_76_1618_M4_D10_Sub_Cu,97.60887296620001,651328.259931,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,s.c. fat,10,tissues
M4,Cluster 294,7,M4_D10_Ear,D10,10,ear,TRINITY_DN1_c0_g3_i1_1_74_1616_M4_D10_Ear,24.6577668309,194699.511662,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,skin,10,tissues
M4,Cluster 294,7,M4_D10_Lung,D10,10,lung,TRINITY_DN0_c0_g2_i1_1_131_1673_RC_M4_D10_Lung,25.5085587573,205119.493214,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,lung,10,tissues
M4,Cluster 294,7,M4_D10_blood,D10,10,blood,TRINITY_DN0_c0_g1_i1_1_1742_3284_M4_D10_blood,98.8638875642,651363.174721,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,blood,10,blood
M4,Cluster 294,7,M4_D10_Gon_Fat,D10,10,gon,TRINITY_DN242_c0_g1_i1_1_2066_3608_M4_D10_Gon_Fat,89.0106270042,591062.158995,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,gon. fat,10,tissues
M4,Cluster 294,7,M4_D10_Heart,D10,10,heart,TRINITY_DN3_c0_g1_i1_1_79_1621_RC_M4_D10_Heart,32.0380019336,235690.709107,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,heart,10,tissues
M4,Cluster 504,7,M4_D10_blood,D10,10,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,10,blood
M4,Cluster 504,7,M4_D10_Heart,D10,10,heart,TRINITY_DN18_c0_g1_i2_1_1_1489_RC_M4_D10_Heart,0.773023360846,5679.64298726,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.7983870968,99.1983967936,1497,1488,WT,IV,heart,10,tissues
M4,Cluster 504,7,M4_D10_Sub_Cu,D10,10,sub,TRINITY_DN27_c0_g1_i1_1_1_1476_RC_M4_D10_Sub_Cu,0.0336794859615,218.067171017,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.6610169492,98.1963927856,1497,1475,WT,IV,s.c. fat,10,tissues
M4,Cluster 504,7,M4_D10_Lung,D10,10,lung,TRINITY_DN33_c0_g1_i4_1_136_1610_M4_D10_Lung,0.001,48.0658194556,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.2537313433,97.7287909152,1497,1474,WT,IV,lung,10,tissues
M4,Cluster 504,7,M4_D10_Ear,D10,10,ear,TRINITY_DN11_c0_g1_i4_1_153_1653_M4_D10_Ear,0.001,0,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.2,99.3987975952,1497,1500,WT,IV,skin,10,tissues
M4,Cluster 504,7,M4_D10_Gon_Fat,D10,10,gon,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,gon. fat,10,tissues
M6,Cluster 1831,8,M6_D10_Sub_Cu,D10,10,sub,TRINITY_DN41_c0_g1_i4_1_0_1392_RC_M6_D10_Sub_Cu,0.027740818846500002,179.569423093,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,s.c. fat,10,tissues
M6,Cluster 1831,8,M6_D10_Gon_Fat,D10,10,gon,TRINITY_DN5_c2_g1_i2_1_88_1480_M6_D10_Gon_Fat,1.19254813948,8352.94888304,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,gon. fat,10,tissues
M6,Cluster 1831,8,M6_D10_blood,D10,10,blood,TRINITY_DN0_c0_g1_i1_1_79_1471_RC_M6_D10_blood,0.20813731628,1378.50030707,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.1666666667,72.5955204216,1518,1392,WT,IV,blood,10,blood
M6,Cluster 1831,8,M6_D10_Lung,D10,10,lung,TRINITY_DN40_c0_g1_i2_1_1552_2944_M6_D10_Lung,0.176446846549,1222.90065959,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,lung,10,tissues
M6,Cluster 1831,8,M6_D10_Ear,D10,10,ear,TRINITY_DN15_c0_g1_i4_1_24_1416_RC_M6_D10_Ear,1.90253173454,14584.278293,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8074712644,72.2661396574,1518,1392,WT,IV,skin,10,tissues
M6,Cluster 294,8,M6_D10_Ear,D10,10,ear,TRINITY_DN4_c0_g4_i2_1_100_1642_RC_M6_D10_Ear,12.891659238999999,98868.169438,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,skin,10,tissues
M6,Cluster 294,8,M6_D10_blood,D10,10,blood,TRINITY_DN0_c1_g1_i1_1_66_1608_M6_D10_blood,98.2792753826,654042.618811,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,blood,10,blood
M6,Cluster 294,8,M6_D10_Lung,D10,10,lung,TRINITY_DN237_c0_g1_i1_1_1437_2775_M6_D10_Lung,2.8902096946699998,20138.3867012,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8789237668,86.6404715128,1527,1338,WT,IV,lung,10,tissues
M6,Cluster 294,8,M6_D10_Gon_Fat,D10,10,gon,TRINITY_DN3_c1_g1_i1_1_149_1691_RC_M6_D10_Gon_Fat,35.4677401404,248627.695034,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,gon. fat,10,tissues
M6,Cluster 294,8,M6_D10_Sub_Cu,D10,10,sub,TRINITY_DN1_c0_g1_i1_1_1748_3290_M6_D10_Sub_Cu,89.6909920587,602284.478409,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,s.c. fat,10,tissues
M6,Cluster 504,8,M6_D10_Sub_Cu,D10,10,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,10,tissues
M6,Cluster 504,8,M6_D10_Ear,D10,10,ear,TRINITY_DN83_c0_g1_i5_1_2_1489_RC_M6_D10_Ear,0.13499038678,1027.6731405,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.2602555481,98.5971943888,1497,1487,WT,IV,skin,10,tissues
M6,Cluster 504,8,M6_D10_Gon_Fat,D10,10,gon,TRINITY_DN79_c0_g1_i2_1_136_1627_M6_D10_Gon_Fat,0.0940526000188,652.314065742,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.7987927565,99.3987975952,1497,1491,WT,IV,gon. fat,10,tissues
M6,Cluster 504,8,M6_D10_Lung,D10,10,lung,TRINITY_DN35_c0_g2_i1_1_1_1489_RC_M6_D10_Lung,0.039772194584800004,270.250182686,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.4623655914,98.8643954576,1497,1488,WT,IV,lung,10,tissues
M6,Cluster 504,8,M6_D10_blood,D10,10,blood,TRINITY_DN27_c0_g1_i1_1_136_1633_M6_D10_blood,0.0120655556879,73.641351484,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.5991983968,99.5991983968,1497,1497,WT,IV,blood,10,blood
